201, 8824, 129, 1
  98, 13532, 122, 0
  188, 11600, 154, 0
  273, 8675, 100, 1
  116, 16462, 105, 0
  67, 12907, 160, 0
  186, 4005, 151, 1
  216, 15751, 96, 0
  133, 17070, 118, 0
  113, 9311, 146, 0
  120, 14321, 186, 0
  68, 16775, 146, 0
  68, 13299, 140, 0
  275, 12383, 165, 1
  136, 7533, 168, 0
  233, 12246, 158, 1
  185, 15024, 176, 0
  199, 8073, 105, 0
  128, 13691, 110, 0
  108, 8208, 184, 0
  136, 11179, 118, 0
  153, 3680, 96, 1
  283, 12777, 104, 1
  254, 13380, 179, 1
  82, 13536, 164, 0
  145, 3896, 97, 1
  171, 5776, 97, 1
  274, 8549, 155, 1
  251, 17506, 129, 1
  197, 4758, 130, 1
  228, 11901, 193, 1
  120, 15222, 184, 0
  122, 9743, 151, 0
  237, 9898, 110, 1
  118, 17587, 165, 0
  266, 12452, 115, 1
  179, 2809, 124, 1
  257, 16459, 155, 1
  281, 6958, 119, 1
  277, 10640, 128, 1
  123, 8612, 170, 0
  182, 14601, 148, 0
  114, 17212, 170, 0
  79, 14035, 152, 0
  176, 3548, 195, 1
  213, 14654, 175, 1
  251, 3547, 142, 1
  188, 5823, 167, 1
  77, 2890, 175, 1
  188, 12638, 154, 0
  247, 6201, 186, 1
  124, 3029, 104, 1
  165, 4322, 136, 1
  169, 3800, 184, 1
  272, 15770, 134, 1
  72, 8646, 157, 0
  278, 7633, 194, 1
  134, 4018, 114, 1
  138, 10193, 104, 0
  266, 5937, 139, 1
  135, 14008, 102, 0
  88, 2976, 142, 1
  260, 3858, 196, 1
  265, 15157, 119, 1
  290, 3725, 95, 1
  159, 17053, 168, 0
  76, 10177, 116, 0
  264, 2922, 143, 1
  130, 16760, 126, 0
  192, 2854, 123, 1
  105, 12541, 181, 0
  138, 5772, 150, 1
  166, 12095, 172, 0
  165, 14706, 146, 0
  180, 10128, 188, 0
  187, 5364, 152, 1
  269, 8930, 165, 1
  243, 7360, 102, 1
  222, 11655, 148, 1
  209, 9116, 102, 1
  92, 6651, 193, 1
  280, 15255, 128, 1
  137, 10210, 124, 0
  179, 16961, 194, 0
  104, 14246, 167, 0
  207, 16521, 125, 1
  264, 8040, 187, 1
  234, 14166, 177, 1
  78, 16412, 189, 0
  128, 13924, 163, 0
  188, 8844, 136, 0
  111, 15382, 161, 0
  265, 3635, 114, 1
  165, 14823, 138, 0
  119, 8682, 134, 0
  157, 9908, 117, 0
  75, 12421, 163, 0
  132, 15811, 99, 0
  91, 6754, 138, 1
  85, 8124, 111, 0
  245, 16984, 188, 1
  112, 7120, 148, 0
  194, 10923, 126, 0
  170, 6322, 157, 1
  205, 2860, 196, 1
  232, 7477, 163, 1
  189, 10305, 190, 0
  257, 10881, 171, 1
  274, 3819, 142, 1
  149, 5606, 161, 1
  256, 9803, 138, 1
  273, 14299, 130, 1
  200, 9830, 176, 0
  270, 9482, 107, 1
  254, 13987, 174, 1
  84, 15767, 101, 0
  178, 3946, 110, 1
  84, 10365, 143, 0
  234, 15451, 107, 1
  260, 15508, 144, 1
  196, 8362, 106, 0
  81, 10634, 116, 0
  65, 9830, 149, 0
  120, 14169, 158, 0
  167, 17062, 194, 0
  155, 4237, 121, 1
  258, 11064, 162, 1
  253, 4110, 138, 1
  77, 4961, 123, 1
  72, 8655, 116, 0
  139, 5464, 112, 1
  84, 12488, 186, 0
  237, 7321, 171, 1
  159, 10319, 128, 0
  246, 9079, 167, 1
  102, 3735, 181, 1
  282, 12531, 119, 1
  250, 3859, 172, 1
  285, 15532, 115, 1
  100, 3441, 137, 1
  122, 7267, 152, 0
  146, 15273, 123, 0
  249, 3408, 102, 1
  81, 5449, 158, 1
  208, 14867, 139, 1
  192, 16087, 140, 0
  152, 4626, 146, 1
  92, 3125, 143, 1
  249, 10866, 110, 1
  246, 8585, 142, 1
  142, 4919, 99, 1
  238, 7469, 177, 1
  231, 2822, 99, 1
  273, 14782, 119, 1
  240, 14976, 178, 1
  159, 15397, 174, 0
  262, 8904, 172, 1
  212, 7772, 155, 1
  193, 5079, 118, 1
  183, 14544, 138, 0
  280, 10353, 143, 1
  260, 15089, 124, 1
  111, 12852, 174, 0
  204, 14109, 143, 1
  99, 16653, 101, 0
  190, 6731, 134, 1
  223, 12293, 179, 1
  121, 14231, 159, 0
  194, 12316, 153, 0
  83, 10323, 186, 0
  165, 4114, 167, 1
  106, 17407, 180, 0
  108, 17482, 117, 0
  73, 15866, 109, 0
  252, 15572, 135, 1
  183, 6811, 157, 1
  283, 6382, 105, 1
  196, 14644, 131, 0
  152, 5933, 196, 1
  181, 16882, 139, 0
  262, 10558, 129, 1
  121, 7466, 158, 0
  195, 12456, 117, 0
  218, 6650, 103, 1
  181, 9476, 133, 0
  237, 5713, 173, 1
  187, 12181, 122, 0
  114, 11517, 193, 0
  228, 11466, 146, 1
  266, 3509, 145, 1
  83, 4889, 131, 1
  134, 9566, 108, 0
  207, 5211, 147, 1
  73, 16701, 108, 0
  188, 14564, 168, 0
  245, 3724, 94, 1
  182, 4499, 99, 1
  218, 10320, 141, 1
  127, 15999, 189, 0
  125, 11478, 145, 0
  113, 5832, 128, 1
